CAS or NOCAS-number,SMILES,TC TPO inhibition activity,Presence in test set marked with *
131-18-0,C(=O)(c1c(C(=O)OCCCCC)cccc1)OCCCCC,Inactive,
131-55-5,c1(C(=O)c2c(O)cc(O)cc2)c(O)cc(O)cc1,Active,
131-70-4,C(=O)(O)c1c(C(=O)OCCCC)cccc1,Inactive,
132-64-9,c12-c3c(cccc3)Oc1cccc2,Inactive,
133-06-2,C1(=O)C2C(C(=O)N1SC(Cl)(Cl)Cl)CC=CC2,Inactive,
133-90-4,C(=O)(O)c1c(Cl)c(N)cc(Cl)c1,Active,
134-20-3,C(=O)(c1c(N)cccc1)OC,Active,
134-62-3,C(=O)(c1cc(C)ccc1)N(CC)CC,Inactive,
135-19-3,c12c(cc(O)cc1)cccc2,Active,
136-45-8,C(=O)(c1ccc(C(=O)OCCC)cn1)OCCC,Inactive,
136-60-7,C(=O)(c1ccccc1)OCCCC,Inactive,
136-77-6,c1(CCCCCC)c(O)cc(O)cc1,Active,
139-13-9,C(=O)(O)CN(CC(=O)O)CC(=O)O,Inactive,
139-40-2,c1(Cl)nc(NC(C)C)nc(NC(C)C)n1,Inactive,
140-56-7,C1(CC)CO1,Active,
140-64-7,C(=N)(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,Inactive,
141-04-8,C(=O)(O)CCCCCCCCCCCCCCCCC,Inactive,
141-43-5,C(O)CN,Inactive,
141-66-2,C(=O)(C=C(C)OP(=O)(OC)OC)N(C)C,Inactive,
142-04-1,c1(N)ccccc1,Active,
142-62-1,C(=O)(O)CCCCC,Inactive,
143-50-0,C12(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C(Cl)(C(Cl)(C35Cl)C1=O)C24Cl,Inactive,
145-73-3,C(=O)(O)C1C(C(=O)O)C2CCC1O2,Inactive,
147-24-0,c1(C(c2ccccc2)OCCN(C)C)ccccc1,Inactive,
148-79-8,C1(C2=CSC=N2)=Nc2c(cccc2)N1,Inactive,
149-30-4,c12c(cccc1)N=C(S)S2,Active,
149-57-5,C(=O)(O)CCCCCCC,Inactive,
150-13-0,C(=O)(O)c1ccc(N)cc1,Active,
150-68-5,c1(Cl)ccc(NC(=O)N(C)C)cc1,Active,
156-60-5,C(Cl)=CCl,Inactive,
205-99-2,c12c(c3c4c(c5c(c4ccc3)cccc5)c1)cccc2,Inactive,
206-44-0,c12c3c(c4c(c3ccc1)cccc4)ccc2,Inactive,
208-96-8,c12c3c(C=Cc3ccc1)ccc2,Inactive,
271-89-6,c12c(C=CO1)cccc2,Inactive,
288-88-0,C1N=CNN=1,Inactive,
298-00-0,c1(OP(=S)(OC)OC)ccc(N(=O)=O)cc1,Active,
